Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1763396410.6124349,-14.463516534392399,9.120771196161789,1
1763396410.6174364,-17.67369718646984,11.206183654263743,1
1763396410.6497207,-0.24786849998623692,7.57707656833159,0
1763396410.6817224,-13.792776845176881,9.698237794203589,1
1763396410.7137208,-16.52694921190283,9.151108433317024,1
1763396410.745535,-5.201157494286572,8.102847448564258,1
1763396410.7775342,-11.635816924291385,9.389465164213439,1
1763396410.8095345,-10.61382048216453,7.967135423221778,0
1763396410.8415241,-18.36393453630289,10.918582785404169,1
1763396410.8735292,-6.83275413817573,8.246713571121266,1
1763396410.9055278,-3.4118922060416383,7.223317931530222,0
1763396410.9379067,-4.619899029731961,7.6824579670291495,0
1763396410.9699051,-8.128834715771603,8.165415355610872,1
1763396411.0019038,-19.080519989135784,12.719840751679435,1
1763396411.0339043,-12.557652356009774,8.504502261678626,1
1763396411.0659049,-18.812686503863706,10.649313696134676,1
1763396411.0976105,-10.173341520587247,10.110710284044526,1
1763396411.129834,-14.793208428719224,10.275187066023902,1
1763396411.16134,-18.192630253028412,11.651414283072139,1
1763396411.1933393,-12.056013475393238,9.304442094012474,1
1763396411.2253902,-15.78481916824517,10.057600942546996,1
1763396411.2573898,-19.16236067792525,12.235561719616474,1
1763396411.2898772,-17.953656126800347,11.0498778534974,1
1763396411.3218246,-14.898655802111577,10.614113433509253,1
1763396411.354329,-18.016190057621568,12.566044941604424,1
1763396411.3853257,-16.652089708445292,10.52009869383269,1
1763396411.4183257,-19.31156805277646,12.100884406931915,1
1763396411.4493165,-18.84953842404428,10.74018301627449,1
1763396411.4813092,-18.781182302695935,12.239757663280837,1
1763396411.5133166,-18.12900212677531,12.992795821720435,1
1763396411.5453167,-18.152924651204955,10.283384312901177,1
1763396411.5776129,-16.476240957696362,9.565093493292768,1
1763396411.6099656,-17.979096875657735,12.081773779922276,1
1763396411.6414497,-18.296449984297876,11.201314052544493,1
1763396411.673453,-12.383439031422375,8.569932354125067,1
1763396411.6987808,-17.85565208243491,10.862372185832808,1
1763396411.7304442,-18.45464357039266,11.234452779386956,1
1763396411.7620554,-9.272652709110117,9.885213564737251,1
1763396411.7962382,-18.56321969734609,11.68503440615299,1
1763396411.827483,-18.46342820827137,10.83958291311118,1
1763396411.857214,-18.306700319639166,11.488526374798568,1
1763396411.8891695,-18.820259407981343,10.994824374368822,1
1763396411.92093,-18.6468068731652,11.526433896615803,1
1763396411.9523451,-7.773623813844878,9.011951361769032,1
1763396411.9841454,-10.913970594553428,8.859350991581062,1
1763396412.0156693,-18.076738644840553,10.940988685435471,1
1763396412.047342,-18.06479621563579,11.679149470135492,1
1763396412.0794659,-18.761807419310067,11.078113227198493,1
1763396412.111046,-18.84560349849464,11.493277781300765,1
1763396412.1424758,-18.292417703289505,11.628306276690267,1
1763396412.1776135,-20.685503279548172,11.585845915873023,1
1763396412.205685,-18.610869330950834,11.668014956305903,1
1763396412.2373035,-18.008929955920298,11.497706487152119,1
1763396412.268928,-18.704052352712694,11.955390863096632,1
1763396412.3009806,-18.627060614440932,11.791878736276761,1
1763396412.3329363,-18.81669502898205,12.265332456317914,1
1763396412.364486,-18.30517151167931,11.488005175521398,1
1763396412.3962073,-18.697790693072136,11.98575172684577,1
1763396412.428486,-18.151254905785496,11.991265431056974,1
1763396412.4603965,-18.9635691792066,12.138098529796288,1
1763396412.4943385,-18.68033885806088,11.991520951373662,1
1763396412.5237417,-18.067973317628024,12.025524505096541,1
1763396412.5553584,-9.393718762753966,9.559954970120732,1
1763396412.587122,-18.380407692553913,12.523592886371794,1
1763396412.6194413,-18.2342309074066,11.56546369180911,1
1763396412.6512048,-18.311058394193747,11.468204135602186,1
1763396412.6832266,-10.54773750640564,8.949005232122117,1
1763396412.7151659,-17.97164008262151,11.279708545511546,1
1763396412.7627976,-18.793125606542564,12.886315803246497,1
1763396412.778709,-12.821644168159347,10.29078759088373,1
1763396412.8257205,-18.538308857307644,12.02597209251342,1
1763396412.8570065,-18.056118426836658,11.747044429463621,1
1763396412.8885422,-17.945887122742132,11.044735720271042,1
1763396412.9197345,-18.091694465268656,11.244836985543177,1
1763396412.9512255,-18.086096152704382,11.742094635750142,1
1763396412.9831245,-18.604126473741815,11.733471862893996,1
1763396413.0149412,-18.541867969888386,11.309014830304601,1
1763396413.0462713,-17.836773335535494,11.85140906204047,1
1763396413.0800157,-18.269576925667028,11.86974731207917,1
1763396413.109465,-18.21371978194981,10.502094011608161,1
1763396413.1410694,-18.32455206140145,11.057401628526872,1
1763396413.1729002,-18.439077881034535,11.718945758591843,1
1763396413.2044919,-19.003340617882703,12.992757421888204,1
1763396413.2361526,-18.491411030216906,11.74181560513766,1
1763396413.2680697,-18.321310546451894,12.177653689613116,1
1763396413.2996342,-18.363707344796293,12.369197763893148,1
1763396413.3317852,-18.097189772015497,11.500837533444805,1
1763396413.3634691,-9.621884325283593,8.086984273036697,1
1763396413.3952296,-18.27376298489334,11.4554008871518,1
1763396413.427494,-18.307051525330035,11.36792693506142,1
1763396413.4593892,-18.38648013517142,12.248379966695818,1
1763396413.4912424,-18.604914727571423,11.29602252894599,1
1763396413.5228777,-18.33126069164671,11.844602574711004,1
1763396413.554917,-10.031193411915607,9.34364091871212,1
1763396413.5872288,-8.215466740200773,7.337034734767524,0
1763396413.6190543,-10.019757521004165,8.401527601012083,1
1763396413.6511583,-18.80391292530273,12.57562613171078,1
1763396413.6853762,-18.881821444318636,12.485798561500982,1
1763396413.7146692,-11.432632774314138,8.774466381745073,1
1763396413.7470038,-18.432256526701366,11.405588588329998,1
1763396413.777906,-17.85883663041581,10.415028428553068,1
1763396413.8100135,-18.440495532932275,12.218843429379866,1
1763396413.8420584,-9.03984977797784,7.750963108255556,0
1763396413.8741715,-17.82585304315487,10.93086554806429,1
1763396413.9060323,-18.345106414952948,11.880760053435626,1
1763396413.939505,-17.910661256620248,11.390865221896668,1
1763396413.9700665,-18.679759158656754,10.94468384086603,1
1763396414.0018911,-18.88265347130078,13.092904977592308,1
1763396414.0340014,-17.686492685929977,10.966603759458948,1
