Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1763303405.7348943,-13.563808058378399,11.525667988736224,1
1763303405.7398946,-14.119968842117638,12.123203465474104,1
1763303405.772521,-13.793004336216008,12.340758703156947,1
1763303405.8045213,-14.149816102850844,12.8984150087753,1
1763303405.8365214,-13.877442575296664,12.067427009016717,1
1763303405.8685198,-13.535414801451159,12.252836027358315,1
1763303405.9005213,-13.555404166539573,11.002007788937489,1
1763303405.9335198,-13.741647095213475,12.007015701211698,1
1763303405.9655275,-14.900987792829293,13.795791842173072,1
1763303405.9975204,-13.479938651803087,11.230150890272634,1
1763303406.0285208,-13.520280443792075,11.538133376611771,1
1763303406.06053,-13.643031341783692,11.378486446909703,1
1763303406.0925207,-14.216372316162543,12.607822673115143,1
1763303406.1245277,-13.659091092890671,11.259574815726824,1
1763303406.1570456,-14.03176039733286,12.388373117524356,1
1763303406.1890419,-13.974200865441736,12.886730059878422,1
1763303406.2210414,-14.032742707907994,12.986261681408608,1
1763303406.2520416,-14.038603664918005,11.549727880192227,1
1763303406.2850492,-13.4534287676176,11.41682507103326,1
1763303406.3167508,-14.129203127406015,11.806385146876519,1
1763303406.349077,-14.465830222949792,13.74988045364668,1
1763303406.3809958,-14.229902760827281,13.084710401735505,1
1763303406.4130638,-13.648900460788498,11.928436742468753,1
1763303406.4450634,-14.637232192605728,12.488281391594827,1
1763303406.4770656,-14.134246231614156,12.754037554055671,1
1763303406.508064,-14.117392242973176,12.061720106944408,1
1763303406.5410666,-14.208916039460505,12.961460700055753,1
1763303406.5726771,-14.32071394192534,12.478549732936884,1
1763303406.6046853,-13.912906754279078,12.358225945805017,1
1763303406.636798,-14.43640447034164,12.528070265762343,1
1763303406.6688018,-13.898440380413101,12.68311342982854,1
1763303406.7008023,-13.88794794152278,11.855708543301505,1
1763303406.7328014,-14.016398006287483,12.730467831849177,1
1763303406.7648003,-14.17176047880445,12.487681857869882,1
1763303406.7969153,-14.37485393303117,12.259311876569841,1
1763303406.8283496,-14.289198523687707,12.190027098475172,1
1763303406.8609893,-14.2809268341383,12.564424494394677,1
