Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1763375859.243488,-14.137860892408213,8.757646561586359,1
1763375859.2496004,-6.500685183337281,11.741742001090625,1
1763375859.2817612,-5.636746294010757,11.274136186119279,1
1763375859.3137617,-8.569537074433269,13.38123923107039,1
1763375859.3457613,-4.353855372926571,10.359054364918187,1
1763375859.378086,-5.749740517961709,9.844025084804667,1
1763375859.4100852,-7.539866251391639,12.266495807983265,1
1763375859.4421015,-4.587242210431019,10.157604310055,1
1763375859.475102,-7.079765384478205,11.814816964620132,1
1763375859.5061028,-8.971035414250098,14.881052532234827,1
1763375859.5378993,-9.14881287487079,14.173783768262622,1
1763375859.5708995,-9.634457559094495,14.37441008040261,1
1763375859.6019053,-9.121598039332193,14.142011943739083,1
1763375859.634049,-8.636268130057605,13.328059232729068,1
1763375859.6660492,-9.443318645027759,14.349349582861347,1
1763375859.6983974,-8.616259507108255,13.989831612024721,1
1763375859.7301116,-8.408085429161185,13.139178343198372,1
1763375859.7618437,-8.432580091594124,14.710267521734385,1
1763375859.7936819,-8.744825753639955,12.545913093504758,1
1763375859.8261347,-8.773094607589897,14.071206832979144,1
1763375859.8591394,-8.546564493792019,13.62255473919064,1
1763375859.8911405,-8.92883558170413,15.029954044098554,1
1763375859.9231355,-6.5462130217648165,14.022253057254222,1
1763375859.9553878,-7.314226228110077,14.744305570409182,1
1763375859.9873872,-6.6078397695662305,11.696036340258157,1
1763375860.0183878,-5.97760235996185,11.107847028991177,1
1763375860.0503838,-5.175015220458292,11.575274143344213,1
1763375860.0823867,-9.613135102876273,14.818948175404907,1
1763375860.1152873,-5.867465325580295,11.919713209866895,1
1763375860.145599,-8.755497080559783,13.910917248903916,1
1763375860.1779833,-7.326321640470682,13.06622946443715,1
1763375860.210999,-5.822279330700742,11.94278028488274,1
1763375860.2422006,-3.6563301263252317,11.148938524920823,1
1763375860.2749512,-5.993751548797168,12.977420614285247,1
1763375860.3069518,-7.164714910971452,14.048781471651456,1
1763375860.3389516,-8.506040081379904,13.866069960555404,1
1763375860.3699484,-8.13299257897197,13.254921095631156,1
1763375860.3900857,-5.233032141065263,10.266937907223955,1
1763375860.4199524,-6.726699162125446,12.014792266888932,1
1763375860.452038,-7.035921890115581,13.069819949094153,1
1763375860.484101,-7.662113159621275,12.59069145311367,1
1763375860.5242739,-6.515819809797544,11.810979768526906,1
1763375860.5482578,-5.645312333217642,10.962016775031092,1
1763375860.594815,-5.872703831400737,12.603378176508283,1
1763375860.62698,-6.535850320642466,13.005492701550398,1
1763375860.6586661,-6.6020539130108205,13.82879614156829,1
1763375860.6910346,-10.726382426489087,12.536039836374274,1
1763375860.7233515,-7.494447296546034,12.406195615088926,1
1763375860.7555702,-7.396827553360315,13.076578495054989,1
1763375860.7874353,-7.025512924715225,13.411204850484772,1
1763375860.8193521,-7.062310237038198,12.717564434602135,1
1763375860.8352594,-7.110340553337753,13.617506427554446,1
1763375860.8826482,-7.257377795816757,14.309436722802168,1
1763375860.9144356,-6.613642697508286,13.21638430515317,1
1763375860.945775,-7.00624901389079,13.185437496793309,1
1763375860.977423,-6.97762050349318,14.336815528665824,1
1763375861.0089986,-7.675571609410817,14.97827201310714,1
1763375861.0411563,-4.068050000892279,10.957125419537011,1
1763375861.072828,-6.3866032570614975,13.791392892943804,1
1763375861.1044862,-6.600862503662111,13.414704238391646,1
1763375861.136343,-6.535511468189946,14.111865444557434,1
1763375861.1693342,-6.8257282744321826,14.607926472944001,1
1763375861.200133,-6.017334611610199,13.440883915228977,1
1763375861.232248,-6.040579135596734,14.141769343858197,1
1763375861.264149,-3.8026075498362886,10.964831995427511,1
1763375861.2961156,-5.919669657566787,14.480195515227464,1
1763375861.329453,-6.111195743965968,13.705997404089253,1
1763375861.3601444,-6.062212633201351,11.108443903793464,1
1763375861.3918245,-7.086477634701076,13.418250077596603,1
1763375861.423955,-7.844363516112909,11.937410133699899,1
1763375861.4557583,-6.082853148214702,14.507225153033598,1
