Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1763373869.6772337,-8.790941276184771,13.343247395894146,1
1763373869.682233,-8.735161230510348,13.026605720838154,1
1763373869.7145455,-5.357971430893625,11.838008319771632,1
1763373869.7465508,-10.283755501006517,13.724858608835437,1
1763373869.7785506,-9.17947857171275,13.765495402244788,1
1763373869.81055,-9.19972823452933,14.00257228609176,1
1763373869.8425505,-8.896220554326637,13.316198758247191,1
1763373869.8744493,-9.238690382828539,13.599126633325065,1
1763373869.9074512,-9.12909661130607,13.761367391432957,1
1763373869.9389532,-4.996565677989392,10.718624769696714,1
1763373869.970954,-9.495755879520003,13.622307133498802,1
1763373870.0026567,-9.77088199812413,14.427846584478802,1
1763373870.0346572,-9.082490884133572,13.474103763005674,1
1763373870.0666666,-9.118199779323739,12.234864737919356,1
1763373870.0991893,-8.318195254898475,12.918089695003639,1
1763373870.1313038,-9.000124242258325,14.130258010864443,1
1763373870.1634018,-9.355749107100293,13.046116334335723,1
1763373870.195401,-9.160096270300444,12.793425239374079,1
1763373870.2187297,-9.021292266307276,12.4046407344474,1
1763373870.2483904,-10.525555261100866,11.52798381751505,1
1763373870.279861,-9.124843927169566,12.501759504984287,1
1763373870.3112173,-8.925757023765868,12.911173751786855,1
1763373870.3425124,-8.935353332194458,12.089061909714394,1
1763373870.3738189,-8.30495517854036,12.106513415035895,1
1763373870.405138,-9.141937379129388,13.038200928467653,1
1763373870.437151,-9.21992549424827,12.81264682676178,1
1763373870.4820683,-9.220216188507615,12.260935518076495,1
1763373870.5095406,-7.443921945455933,11.405125571759488,1
1763373870.5466454,-9.199252970988066,12.141940496041702,1
1763373870.577727,-8.709113774866687,12.585425116408036,1
1763373870.6093998,-9.08969288259321,12.630307503844511,1
1763373870.6407378,-8.846940230984389,12.169743136332253,1
1763373870.6720471,-7.921638318102194,12.439621196279074,1
1763373870.7040238,-7.883634375573972,11.618381243353387,1
1763373870.7348704,-5.9368025904280515,10.379271388190357,1
1763373870.7669923,-7.771930113476227,12.790748377722242,1
1763373870.7986789,-8.547409404872568,12.473901852451483,1
1763373870.8307672,-8.498982995427832,12.947994506279498,1
1763373870.8626862,-7.4938446527855165,11.552955726513197,1
1763373870.89407,-6.461145579313629,12.218223952678649,1
1763373870.926117,-7.980266954655626,11.782560844069366,1
1763373870.9594514,-8.331131181280867,11.892455648927776,1
1763373870.99006,-7.810509818785806,12.040392199298523,1
1763373871.022033,-8.349861920621196,11.614152818578178,1
1763373871.0537472,-7.404208132981246,11.042733259063379,1
1763373871.085391,-8.084017216314056,11.615528686053985,1
1763373871.1172998,-7.887286903050247,11.452599008515147,1
1763373871.149388,-7.920224287226034,11.397433091227217,1
1763373871.1811452,-7.5719115742730265,11.720151498579884,1
1763373871.2126799,-7.396727289956598,11.375349113583503,1
1763373871.2486007,-7.954994406634725,11.969653346460383,1
1763373871.275771,-7.186989122147921,11.936227441193072,1
1763373871.307561,-7.656608731815608,12.880913235136124,1
1763373871.3391354,-7.7322081726911085,12.136973953091896,1
